자산,분류,수량,자산가치,매수가,현재가,손익,배당월,투자배당률
삼성전자,첨단 기술,519,"₩112,363,500","₩67,303","₩216,500","+₩77,433,243 (+221.68%)","4,5,8,11","2.18% (₩760,335)"
BTC/KRW,가상자산,0.698,"₩67,432,174","₩82,000,000","₩96,607,700","+₩10,196,174 (+17.81%)",-,-
TIGER 코리아AI전력기기TOP3+,첨단 기술,4121,"₩65,523,900","₩12,823","₩15,900","+₩12,680,317 (+24.00%)",-,-
샤오미,경기 소비재,1000,"$36,840",$10.66,$36.84,"+₩4,869,480 (+245.59%)",-,-
TIGER 글로벌AI액티브,ETF,2257,"₩51,979,043","₩23,030","₩23,030",+₩0 (+0.00%),-,-
ARTY,첨단 기술,600,"$30,354",$45.01,$50.59,"+$3,347.22 (+12.39%)",-,-
파마리서치,헬스케어,126,"₩44,037,000","₩401,408","₩349,500","₩-6,540,408 (-12.93%)",4,"0.27% (₩138,600)"
SOL 미국AI전력인프라,첨단 기술,1760,"₩35,780,800","₩13,285","₩20,330","+₩12,398,855 (+53.03%)",-,-
현대차3우B,경기 소비재,104,"₩33,644,000","₩80,667","₩323,500","+₩25,254,632 (+301.03%)","4,6,9,12","16.8% (₩1,829,250)"
INTC,첨단 기술,502,$22896.22,$35.1,$45.61,+ (+29.94%),-,-
DL이앤씨우,산업재,1206,"₩31,054,500","₩19,570","₩25,750","+₩7,453,080 (+31.58%)",4,"3.01% (₩711,540)"
TIGER 미국테크TOP10 INDXX,ETF,1050,"₩29,851,500","₩20,918","₩28,430","+₩7,887,238 (+35.91%)",-,-
두산,금융,30,"₩38,340,000","₩846,067","₩1,278,000","+₩12,957,990 (+51.05%)",4,"0.24% (₩60,000)"
삼성전자우,첨단 기술,217,"₩31,204,600","₩46,051","₩143,800","+₩21,211,533 (+212.26%)","4,5,8,11","3.18% (₩318,122)"
NLR,기타,129,$19126.83,$139.67,$148.27,+ (+6.16%),12,2.27%
GRID ETF,ETF,100,$17785.00,$147.35,$177.85,+ (+20.70%),"3,6,9,12",1.05%
ESR켄달스퀘어리츠,부동산,5582,$0.00,"₩3,762",$0.00, (-100.00%),"3,9","7.28% (₩1,529,468)"
ETH/KRW,가상자산,7.998,"₩23,082,983","₩3,368,000","₩2,886,094","₩-3,854,280 (-14.31%)",-,-
NVDA,첨단 기술,73,$12934.87,$141.9,$177.19,+ (+24.87%),"4,7,10,12",0.03%
USD 현금,현금,13386.17,"$13,386.17",-,-,+$0 (+0%),-,-
KODEX 미국30년국채액티브(H),채권,2161,"₩19,405,780","₩8,093","₩8,980","+₩1,916,807 (+10.96%)",월배당,"5.49% (₩959,484)"
HSAI,경기 소비재,480,"$13,051.20",$23.98,$27.19,"+$1,540.8 (+13.38%)",-,-
TIGER 테슬라채권혼합Fn,채권,1224,"₩17,949,960","₩13,800","₩14,665","+₩1,058,760 (+6.27%)","2,5,8,11","1.97% (₩332,928)"
코람코라이프인프라리츠,부동산,3570,"₩16,368,450","₩5,316","₩4,585","₩-2,609,670 (-13.75%)","2,8","7.75% (₩1,470,840)"
TSLA,경기 소비재,26,$10465.26,$401.96,$402.51,+ (+0.14%),-,-
네이버,IT,60,"₩15,270,000","₩187,200","₩254,500","+₩4,038,000 (+35.95%)",4,"0.6% (₩67,800)"
ACE 구글밸류체인액티브,ETF,891,"₩14,754,960","₩14,981","₩16,560","+₩1,407,086 (+10.54%)",-,-
TIME 글로벌우주테크&방산,첨단 기술,667,"₩14,437,215","₩14,274","₩21,645","+₩4,916,494 (+51.64%)",-,-
AMD,첨단 기술,47,$9409.87,$113.58,$200.21,+ (+76.27%),-,-
현대차우,경기 소비재,50,"₩16,075,000","₩100,201","₩321,500","+₩11,064,950 (+220.86%)","4,6,9,12","13.52% (₩677,500)"
SOL/KRW,가상자산,106,"₩13,150,572","₩187,860","₩124,062","₩-6,762,588 (-33.96%)",-,-
SK리츠,부동산,2000,"₩11,820,000","₩4,002","₩5,910","+₩3,816,000 (+47.68%)","3,6,10,12","6.7% (₩536,000)"
KODEX 미국30년국채울트라(H),ETF,1351,"₩10,443,230","₩8,408","₩7,730","₩-915,315 (-8.06%)",-,-
신한서부티엔디리츠,부동산,2468,"₩10,797,500","₩3,747","₩4,375","+₩1,549,904 (+16.76%)","3,9","6.94% (₩641,680)"
이지스밸류플러스리츠,부동산,2298,"₩9,617,130","₩4,335","₩4,185","₩-344,700 (-3.46%)","6,12","7.95% (₩792,111)"
LINK/USD,가상자산,773,$6902.89,$12.89,$8.93, (-30.72%),-,-
KODEX 미국S&P500헬스케어,헬스케어,600,"₩8,166,000","₩10,155","₩13,610","+₩2,073,000 (+34.02%)",-,"1.89% (₩115,200)"
엘오티베큠,산업재,512,"₩7,086,080","₩16,380","₩13,840","₩-1,300,480 (-15.51%)",5,"1.22% (₩102,400)"
현대건설,유틸리티,56,"₩9,223,200","₩56,946","₩164,700","+₩6,034,224 (+189.22%)",4,"1.05% (₩33,600)"
AMZN,IT,20,$4200.00,$127.13,$210.00,+ (+65.19%),-,-
TIGER 코스피고배당,채권,203,"₩5,353,110","₩14,980","₩26,370","+₩2,312,138 (+76.03%)","2,5,8,11","4.16% (₩126,469)"
TIGER 미국초단기국채,채권,464,"₩4,644,640","₩9,654","₩10,010","+₩165,184 (+3.69%)",월배당,"3.11% (₩408,600)"
LLY,헬스케어,3,"$3,116.61",$453.16,$1038.87,"+$1,757.13 (+129.25%)","3,6,9,12",1.53%
미래에셋현금성자산,현금,1,"₩4,424,654",-,-,+₩0 (+0%),-,-
KODEX TRF3070,채권,244,"₩3,492,860","₩12,340","₩14,315","+₩481,805 (+16%)",월배당,"1.15% (₩34,648)"
TIGER 글로벌멀티에셋TIF,채권,242,"₩2,981,440","₩9,639","₩12,320","+₩648,689 (+27.81%)",월배당,"4.36% (₩101,640)"
MSFT,IT,5,$1963.70,$331.83,$392.74,+ (+18.36%),"3,6,9,12",1.1%
TIGER 미국달러단기채권,채권,213,"₩2,858,460","₩13,415","₩13,420","+₩1,169 (+0.04%)",1~12,"2.65% (₩75,828)"
TIGER 글로벌AI사이버보안,첨단 기술,129,"₩1,555,740","₩13,938","₩12,060","₩-242,236 (-13.47%)",-,-
GOOGL,IT,3,$935.28,$298.68,$311.76,+ (+4.38%),"3,6,9,12",0.28%
KRW 현금,현금,640695,"₩640,695",-,-,+₩0 (+0%),-,-
삼성SDI,경기 소비재,1,"₩466,000","₩204,417","₩466,000","+₩261,583 (+127.97%)",4,"0.49% (₩1,000)"
RTX,첨단 기술,1,$204.80,$74.51,$204.8,+$130.29 (+174.85%),"3,6,9,12",3.65%
PLTR,IT,1,$137.19,$170.58,$137.19, (-19.57%),-,-
HANARO 글로벌금채굴기업,채권,4,"₩149,700","₩13,280","₩37,425","+₩96,578 (+181.81%)",-,-
세아베스틸지주,소재,1,"₩69,100","₩25,654","₩69,100","+₩43,446 (+169.35%)",4,"4.68% (₩1,200)"
LG에너지솔루션,경기 소비재,56,"₩22,624,000","₩404,000","₩404,000",+₩0 (+0.00%),-,-
