자산,분류,수량,자산가치,매수가,현재가,손익,배당월,투자배당률,
삼성전자,첨단 기술,519,₩94,042,800,₩67,303,₩181,"['200', '+₩59', '112', '540 (+169.23%)', '4,5,8,11', '2.18% (₩760', '335)']"
BTC / KRW,가상자산,0.698,₩69,663,890,₩82,000,000,"['₩99', '805', '000', '+₩12', '427', '890 (+21.71%)', '-', '-']"
TIGER 코리아AI전력기기TOP3플러스,첨단 기술,2,925,₩46,507,500,₩12,720,"['₩15', '900', '+₩9', '301', '783 (+25%)', '-', '-']"
ARTY,첨단 기술,600,"$30,354",$45.01,$50.59,"+$3,347.22 (+12.39%)",-,-,
파마리서치,헬스케어,126,₩43,470,000,₩401,408,₩345,"['000', '-₩7', '107', '465 (-14.05%)', '4', '0.27% (₩138', '600)']"
SOL 미국AI전력인프라,첨단 기술,1,760,₩35,780,800,₩13,285,"['₩20', '330', '+₩12', '398', '855 (+53.03%)', '-', '-']"
현대차3우B,경기 소비재,135,₩34,222,500,₩80,667,₩253,"['500', '+₩23', '332', '455 (+214.25%)', '4,6,9,12', '16.80% (₩1', '829', '250)']"
INTC,첨단 기술,502,"$23,177.34",$35.1,$46.17,"+$5,557.59 (+31.54%)",배당 일시중지,-,
DL이앤씨우,산업재,1,206,₩30,451,500,₩19,570,"['₩25', '250', '+₩6', '850', '080 (+29.02%)', '4', '3.01% (₩711', '540)']"
LG에너지솔루션,경기 소비재,56,"₩22,624,000","₩404,000","₩404,000",+₩0 (+0.00%),-,-,
