자산,분류,수량,자산가치,매수가,현재가,손익,배당월,투자배당률
삼성전자,첨단 기술,519.0,"₩98,013,150","₩67,303","₩188,850","+₩63,082,893 (+180.60%)","4,5,8,11","2.18% (₩760,335)"
BTC/KRW,가상자산,0.698,"₩73,697,498","₩82,000,000","₩105,583,809","+₩16,461,498 (+28.76%)",-,-
TIGER 코리아AI전력기기TOP3+,첨단 기술,4121.0,"₩124,701,460","₩12,823","₩30,260","+₩71,857,877 (+135.98%)",-,-
샤오미,경기 소비재,1000.0,"$33,340.00",$10.66,$33.34,"+$24,240.00 (+227.39%)",-,-
TIGER 글로벌AI액티브,ETF,2257.0,"₩56,526,565","₩23,030","₩25,045","+₩4,547,855 (+8.75%)",-,-
ARTY,첨단 기술,600.0,"$29,538.00",$45.01,$49.23,"+$3,347.22 (+12.39%)",-,-
파마리서치,헬스케어,126.0,"₩39,060,000","₩401,408","₩310,000","₩-11,517,408 (-22.77%)",4,"0.27% (₩138,600)"
SOL 미국AI전력인프라,첨단 기술,1760.0,"₩37,646,400","₩13,285","₩21,390","+₩14,264,800 (+61.01%)",-,-
현대차3우B,경기 소비재,104.0,"₩26,416,000","₩80,667","₩254,000","+₩18,026,632 (+214.87%)","4,6,9,12","16.8% (₩1,829,250)"
INTC,첨단 기술,502.0,"$23,483.56",$35.1,$46.78,"+$5,276.02 (+29.94%)",-,-
DL이앤씨우,산업재,1206.0,"₩1,173,438","₩19,570",₩973,"₩-22,427,982 (-95.03%)",4,"3.01% (₩711,540)"
TIGER 미국테크TOP10 INDXX,ETF,1050.0,"₩30,082,500","₩20,918","₩28,650","+₩8,118,600 (+36.96%)",-,-
두산,금융,30.0,"₩34,650,000","₩846,067","₩1,155,000","+₩9,267,990 (+36.51%)",4,"0.24% (₩60,000)"
삼성전자우,첨단 기술,217.0,"₩29,208,200","₩46,051","₩134,600","+₩19,215,133 (+192.28%)","4,5,8,11","3.18% (₩318,122)"
NLR,기타,129.0,"$18,096.12",$139.67,$140.28,"+$1,299.03 (+7.21%)",12,2.27%
GRID ETF,ETF,100.0,"$17,849.00",$147.35,$178.49,"+$3,114.00 (+21.13%)","3,6,9,12",1.05%
ESR켄달스퀘어리츠,부동산,5582.0,"₩24,058,420","₩3,762","₩4,310","+₩3,058,936 (+14.57%)","3,9","7.28% (₩1,529,468)"
ETH/KRW,가상자산,7.998,"₩25,634,125","₩3,368,000","₩3,205,067","₩-1,303,138 (-4.84%)",-,-
NVDA,첨단 기술,73.0,"$13,488.21",$141.9,$184.77,"+$2,576.17 (+24.87%)","4,7,10,12",0.03%
USD 현금,현금,13386.17,"$13,386.17",-,-,+$0 (+0%),-,-
KODEX 미국30년국채액티브(H),채권,2161.0,"₩16,218,305","₩8,093","₩7,505","₩-1,270,668 (-7.27%)",월배당,"5.49% (₩959,484)"
HSAI,경기 소비재,480.0,"$12,115.20",$23.98,$25.24,"+$1,425.60 (+12.39%)",-,-
TIGER 테슬라채권혼합Fn,채권,1224.0,"₩17,539,920","₩13,800","₩14,330","+₩648,720 (+3.84%)","2,5,8,11","1.97% (₩332,928)"
코람코라이프인프라리츠,부동산,3570.0,"₩8,550,150","₩5,316","₩2,395","₩-10,427,970 (-54.95%)","2,8","7.75% (₩1,470,840)"
TSLA,경기 소비재,26.0,"$10,380.11",$401.96,$399.24,+$14.30 (+0.14%),-,-
네이버,IT,60.0,"₩12,780,000","₩187,200","₩213,000","+₩1,548,000 (+13.78%)",4,"0.6% (₩67,800)"
ACE 구글밸류체인액티브,ETF,891.0,"₩15,686,055","₩14,981","₩17,605","+₩2,337,984 (+17.52%)",-,-
TIME 글로벌우주테크&방산,첨단 기술,667.0,"₩14,674,000","₩14,274","₩22,000","+₩5,153,242 (+54.13%)",-,-
AMD,첨단 기술,47.0,"$9,551.81",$113.58,$203.23,"+$4,071.61 (+76.27%)",-,-
현대차우,경기 소비재,50.0,"₩12,550,000","₩100,201","₩251,000","+₩7,539,950 (+150.50%)","4,6,9,12","13.52% (₩677,500)"
SOL/KRW,가상자산,106.0,"₩14,343,814","₩187,860","₩135,319","₩-5,569,346 (-27.97%)",-,-
SK리츠,부동산,2000.0,"₩11,480,000","₩4,002","₩5,740","+₩3,476,000 (+43.43%)","3,6,10,12","6.7% (₩536,000)"
KODEX 미국30년국채울트라(H),ETF,1351.0,"₩16,022,860","₩8,408","₩11,860","+₩4,663,652 (+41.06%)",-,-
신한서부티엔디리츠,부동산,2468.0,"₩10,846,860","₩3,747","₩4,395","+₩1,599,264 (+17.29%)","3,9","6.94% (₩641,680)"
이지스밸류플러스리츠,부동산,2298.0,"₩10,547,820","₩4,335","₩4,590","+₩585,990 (+5.88%)","6,12","7.95% (₩792,111)"
LINK/USD,가상자산,773.0,"$7,003.38",$12.89,$9.06,"-$2,960.59 (-29.71%)",-,-
KODEX 미국S&P500헬스케어,헬스케어,600.0,"₩13,377,000","₩10,155","₩22,295","+₩7,284,000 (+119.55%)",-,"1.89% (₩115,200)"
엘오티베큠,산업재,512.0,"₩2,396,160","₩16,380","₩4,680","₩-5,990,400 (-71.43%)",5,"1.22% (₩102,400)"
현대건설,유틸리티,56.0,"₩8,204,000","₩56,946","₩146,500","+₩5,015,024 (+157.26%)",4,"1.05% (₩33,600)"
AMZN,IT,20.0,"$4,286.60",$127.13,$214.33,"+$1,657.40 (+65.19%)",-,-
TIGER 코스피고배당,채권,203.0,"₩5,711,405","₩14,980","₩28,135","+₩2,670,465 (+87.82%)","2,5,8,11","4.16% (₩126,469)"
TIGER 미국초단기국채,채권,464.0,"₩4,707,280","₩9,654","₩10,145","+₩227,824 (+5.09%)",월배당,"3.11% (₩408,600)"
LLY,헬스케어,3.0,"$3,004.05",$453.16,$1001.35,"+$1,796.49 (+132.15%)","3,6,9,12",1.53%
미래에셋현금성자산,현금,1.0,"₩4,424,654",-,-,+₩0 (+0%),-,-
KODEX TRF3070,채권,244.0,"₩3,472,120","₩12,340","₩14,230","+₩461,160 (+15.32%)",월배당,"1.15% (₩34,648)"
TIGER 글로벌멀티에셋TIF,채권,242.0,"₩2,992,330","₩9,639","₩12,365","+₩659,692 (+28.28%)",월배당,"4.36% (₩101,640)"
MSFT,IT,5.0,"$2,028.80",$331.83,$405.76,+$304.55 (+18.36%),"3,6,9,12",1.1%
TIGER 미국달러단기채권,채권,213.0,"₩2,979,870","₩13,415","₩13,990","+₩122,475 (+4.29%)",1~12,"2.65% (₩75,828)"
TIGER 글로벌AI사이버보안,첨단 기술,129.0,"₩1,544,775","₩13,938","₩11,975","-₩253,227 (-14.08%)",-,-
GOOGL,IT,3.0,$921.12,$298.68,$307.04,+$39.24 (+4.38%),"3,6,9,12",0.28%
KRW 현금,현금,640695.0,"₩640,695",-,-,+₩0 (+0%),-,-
삼성SDI,경기 소비재,1.0,"₩393,000","₩204,417","₩393,000","+₩188,583 (+92.25%)",4,"0.49% (₩1,000)"
RTX,첨단 기술,1.0,$207.00,$74.51,$207.00,+$128.11 (+171.94%),"3,6,9,12",3.65%
PLTR,IT,1.0,$151.14,$170.58,$151.14,-$33.39 (-19.57%),-,-
HANARO 글로벌금채굴기업,채권,4.0,"₩156,880","₩13,280","₩39,220","+₩103,760 (+195.33%)",-,-
세아베스틸지주,소재,1.0,"₩187,600","₩25,654","₩187,600","+₩161,946 (+631.27%)",4,"4.68% (₩1,200)"
LG에너지솔루션,경기 소비재,56.0,"₩21,784,000","₩404,000","₩389,000","₩-840,000 (-3.71%)",-,-
현대차우,경기 소비재,80.0,"₩20,080,000","₩248,500","₩251,000","+₩200,000 (+1.01%)","4,6,9,12","0.96% (₩160,000)"
KODEX 증권,금융,100.0,"₩2,517,500","₩24,355","₩25,175","+₩82,000 (+3.37%)",-,-
