자산,분류,수량,자산가치,매수가,현재가,손익,배당월,투자배당률
삼성전자,첨단 기술,519,"₩94,042,800","₩67,303","₩181,200","+₩59,112,540 (+169.23%)","4,5,8,11","2.18% (₩760,335)"
BTC/KRW,가상자산,0.698,"₩69,663,890","₩82,000,000","₩99,805,000","+₩12,427,890 (+21.71%)",-,-
TIGER 코리아AI전력기기TOP3+,첨단 기술,2925,"₩46,507,500","₩12,720","₩15,900","+₩9,301,783 (+25%)",-,-
ARTY,첨단 기술,600,"$30,354",$45.01,$50.59,"+$3,347.22 (+12.39%)",-,-
파마리서치,헬스케어,126,"₩43,470,000","₩401,408","₩345,000","₩-7,107,465 (-14.05%)",4,"0.27% (₩138,600)"
SOL 미국AI전력인프라,첨단 기술,1760,"₩35,780,800","₩13,285","₩20,330","+₩12,398,855 (+53.03%)",-,-
현대차3우B,경기 소비재,135,"₩34,222,500","₩80,667","₩253,500","+₩23,332,455 (+214.25%)","4,6,9,12","16.8% (₩1,829,250)"
INTC,첨단 기술,502,"$23,177.34",$35.1,$46.17,"+$5,557.59 (+31.54%)",-,-
DL이앤씨우,산업재,1206,"₩30,451,500","₩19,570","₩25,250","+₩6,850,080 (+29.02%)",4,"3.01% (₩711,540)"
TIGER 미국테크TOP10 INDXX,ETF,1050,"₩29,851,500","₩20,918","₩28,430","+₩7,887,238 (+35.91%)",-,-
HSAI,경기 소비재,480,"$13,051.20",$23.98,$27.19,"+$1,540.8 (+13.38%)",-,-
두산,금융,30,"₩28,260,000","₩846,067","₩942,000","+₩2,877,997 (+11.34%)",4,"0.24% (₩60,000)"
삼성전자우,첨단 기술,217,"₩27,689,200","₩46,051","₩127,600","+₩17,696,173 (+177.09%)","4,5,8,11","3.18% (₩318,122)"
NLR,기타,129,"$18,377.34",$139.67,$142.46,+$360.39 (+2%),12,2.27%
GRID ETF,ETF,100,"$17,514",$147.35,$175.14,"+$2,778.67 (+18.86%)","3,6,9,12",1.05%
ESR켄달스퀘어리츠,부동산,5582,"₩24,811,990","₩3,762","₩4,445","+₩3,812,089 (+18.15%)","3,9","7.28% (₩1,529,468)"
ETH/KRW,가상자산,7.998,"₩23,395,027","₩3,368,000","₩2,925,000","₩-3,543,247 (-13.15%)",-,-
NVDA,첨단 기술,73,"$13,761.96",$141.9,$188.52,"+$3,403.35 (+32.86%)","4,7,10,12",0.03%
KODEX 미국30년국채액티브(H),채권,2161,"₩19,405,780","₩8,093","₩8,980","+₩1,916,807 (+10.96%)",월배당,"5.49% (₩959,484)"
USD 현금,현금,13386.17,"$13,386.17",-,-,+$0 (+0%),-,-
POSCO홀딩스,소재,50,"₩18,775,000","₩285,931","₩375,500","+₩4,478,450 (+31.33%)","4,6,8,11","3.5% (₩500,000)"
TIGER 테슬라채권혼합Fn,채권,1224,"₩17,949,960","₩13,800","₩14,665","+₩1,058,760 (+6.27%)","2,5,8,11","1.97% (₩332,928)"
코람코라이프인프라리츠,부동산,3570,"₩16,636,200","₩5,316","₩4,660","₩-2,341,959 (-12.34%)","2,8","7.75% (₩1,470,840)"
TSLA,경기 소비재,26,"$10,708.62",$401.96,$411.87,+$257.57 (+2.47%),-,-
네이버,IT,60,"₩15,150,000","₩187,200","₩252,500","+₩3,918,000 (+34.88%)",4,"0.6% (₩67,800)"
ACE 구글밸류체인액티브,ETF,891,"₩14,754,960","₩14,981","₩16,560","+₩1,407,086 (+10.54%)",-,-
TIME 글로벌우주테크&방산,첨단 기술,667,"₩14,437,215","₩14,274","₩21,645","+₩4,916,494 (+51.64%)",-,-
TIGER 미국초단기국채,채권,1362,"₩13,633,620","₩9,654","₩10,010","+₩484,872 (+3.69%)",월배당,"3.11% (₩408,600)"
AMD,첨단 기술,47,"$9,365.69",$113.58,$199.27,"+$4,027.43 (+75.44%)",-,-
현대차우,경기 소비재,50,"₩13,050,000","₩100,201","₩261,000","+₩8,039,943 (+160.48%)","4,6,9,12","13.52% (₩677,500)"
SOL/KRW,가상자산,106,"₩12,985,000","₩187,860","₩122,500","₩-6,928,160 (-34.79%)",-,-
SK리츠,부동산,2000,"₩11,220,000","₩4,002","₩5,610","+₩3,216,005 (+40.18%)","3,6,10,12","6.7% (₩536,000)"
FOCUS 알리바바커버드콜,채권,946,"₩10,661,420","₩10,620","₩11,270","+₩614,900 (+6.12%)",월배당,"13.11% (₩1,316,832)"
KODEX 미국30년국채울트라(H),ETF,1351,"₩10,443,230","₩8,408","₩7,730","₩-915,315 (-8.06%)",-,-
신한서부티엔디리츠,부동산,2468,"₩10,057,100","₩3,747","₩4,075","+₩810,717 (+8.77%)","3,9","6.94% (₩641,680)"
이지스밸류플러스리츠,부동산,2298,"₩9,858,420","₩4,335","₩4,290","₩-103,121 (-1.04%)","6,12","7.95% (₩792,111)"
LINK/USD,가상자산,773,"$6,756",$12.89,$8.74,"$3,208 (-32.2%)",-,-
KODEX 미국S&P500헬스케어,헬스케어,600,"₩8,166,000","₩10,155","₩13,610","+₩2,073,000 (+34.02%)",-,"1.89% (₩115,200)"
샤오미,경기 소비재,1000,"$36,840",$10.66,$36.84,"+₩4,869,480 (+245.59%)",-,-
엘오티베큠,산업재,512,"₩6,502,400","₩16,380","₩12,700","₩-1,884,160 (-22.47%)",5,"1.22% (₩102,400)"
