자산,분류,수량,자산가치,매수가,현재가,손익,배당월,투자배당률
삼성전자,첨단 기술,519.0,"₩98,454,300",₩67,303,"₩189,700","+₩63,524,043 (+181.86%),4,5,8,11,2.18% (₩760",335)
BTC/KRW,가상자산,0.698,"₩73,860,964",₩82,000,000,"₩105,818,000,+₩16,624,965 (+29.05%),-",-
TIGER 코리아AI전력기기TOP3+,첨단 기술,4121.0,"₩125,051,745","₩12,823","₩30,345","+₩72,208,162 (+136.65%)",-,-
샤오미,경기 소비재,1000.0,"$32,600.00",$10.66,$32.60,"+$21,940.00 (+205.82%)",-,-
TIGER 글로벌AI액티브,ETF,2257.0,"₩55,860,750","₩23,030","₩24,750","+₩3,882,040 (+7.47%)",-,-
ARTY,첨단 기술,600.0,"$29,454.00",$45.01,$49.09,"+$2,448.00 (+9.06%)",-,-
파마리서치,헬스케어,126.0,"₩39,375,000",₩401,408,"₩312,500","₩-11,202,408 (-22.15%),4,0.27% (₩138",600)
SOL 미국AI전력인프라,첨단 기술,1760.0,"₩35,112,000",₩13,285,"₩19,950","+₩11,730,400 (+50.17%),-",-
현대차3우B,경기 소비재,104.0,"₩25,012,000",₩80,667,"₩240,500","+₩16,622,632 (+198.14%),4,6,9,12,16.8% (₩1,829",250)
INTC,첨단 기술,502.0,"$22,093.02",$35.1,$44.01,"+$4,472.82 (+25.38%)",-,-
DL이앤씨우,산업재,1206.0,"₩72,721,800",₩19,570,"₩60,300","+₩49,120,380 (+208.12%),4,3.01% (₩711",540)
TIGER 미국테크TOP10 INDXX,ETF,1050.0,"₩30,056,250",₩20,918,"₩28,625","+₩8,092,350 (+36.84%),-",-
두산,금융,30.0,"₩34,530,000",₩846,067,"₩1,151,000","+₩9,147,990 (+36.04%),4,0.24% (₩60",000)
삼성전자우,첨단 기술,217.0,"₩29,099,700",₩46,051,"₩134,100","+₩19,106,633 (+191.20%),4,5,8,11,3.18% (₩318",122)
NLR,기타,129.0,"$17,008.65",$139.67,$131.85,"-$1,008.78 (-5.60%)",12,2.27%
GRID ETF,ETF,100.0,"$16,495.00",$147.35,$164.95,"+$1,760.00 (+11.94%)","3,6,9,12",1.05%
ESR켄달스퀘어리츠,부동산,5582.0,"₩23,639,770",₩3,762,"₩4,235","+₩2,640,286 (+12.57%),3,9,7.28% (₩1,529",468)
ETH/KRW,가상자산,7.998,"₩25,761,558",₩3,368,000,"₩3,221,000,₩-1,175,706 (-4.36%),-",-
NVDA,첨단 기술,73.0,"$12,821.72",$141.9,$175.64,"+$2,463.02 (+23.78%)","4,7,10,12",0.03%
USD 현금,현금,13386.17,"$13,386.17",-,-,+$0 (+0%),-,-
KODEX 미국30년국채액티브(H),채권,2161.0,"₩16,239,915",₩8,093,"₩7,515","₩-1,249,058 (-7.14%),월배당,5.49% (₩959",484)
HSAI,경기 소비재,480.0,"$11,318.40",$23.98,$23.58,-$192.00 (-1.67%),-,-
TIGER 테슬라채권혼합Fn,채권,1224.0,"₩17,870,400","₩13,800","₩14,600","+₩979,200 (+5.80%)","2,5,8,11","1.97% (₩332,928)"
코람코라이프인프라리츠,부동산,3570.0,"₩16,457,700",₩5,316,"₩4,610","₩-2,520,420 (-13.28%),2,8,7.75% (₩1,470",840)
TSLA,경기 소비재,26.0,"$9,902.10",$401.96,$380.85,-$548.86 (-5.25%),-,-
네이버,IT,60.0,"₩12,810,000",₩187,200,"₩213,500","+₩1,578,000 (+14.05%),4,0.6% (₩67",800)
ACE 구글밸류체인액티브,ETF,891.0,"₩15,467,760","₩14,981","₩17,360","+₩2,119,689 (+15.88%)",-,-
TIME 글로벌우주테크&방산,첨단 기술,667.0,"₩15,147,570","₩14,274","₩22,710","+₩5,626,812 (+59.10%)",-,-
